property_id,property_name,listing_type,price_zar,price_tier,review_count,demand_score,suburb,city,region,country,url,has_promo_flag,discount_pct,price_outlier_flag
35579.0,2-Bedroom Chalet,Self Catering,1400.0,Premium,32.0,3.56,Karoo Karoo,Karoo Karoo,Karoo,South Africa,https://www.lekkeslaap.co.za/accommodation/tamboershoek,False,,False
94765.0,Stonebreaker Country Lodge,Lodge,850.0,Mid-Range,135.0,12.5,Oudtshoorn,Karoo,Karoo,South Africa,https://www.lekkeslaap.co.za/accommodation/stonebreaker-country-lodge,False,,False
4559.0,Schulteheim Hotel,Hotel,1200.0,Premium,158.0,17.56,Uniondale,Karoo,Karoo,South Africa,https://www.lekkeslaap.co.za/accommodation/schulteheim-hotel,False,,False
6096.0,Berluda Farmhouse and Cottages,Guest House,2142.0,Premium,67.0,7.44,Oudtshoorn,Karoo,Karoo,South Africa,https://www.lekkeslaap.co.za/accommodation/berluda-farmhouse-and-cottages,False,,False
45361.0,The Kliphuis,Self Catering,2550.0,Luxury,48.0,6.67,Klein Karoo,Cape Route 62,Cape Route 62,South Africa,https://www.lekkeslaap.co.za/accommodation/the-kliphuis,False,,False
101392.0,Sands Beach Breaks Manors,Self Catering,2023.0,Premium,21.0,2.33,Willard's Beach,Ballito,Ballito,South Africa,https://www.lekkeslaap.co.za/accommodation/sands-beach-breaks-manor,False,,False
61039.0,205 Les Mouettes,Self Catering,2233.0,Premium,48.0,5.33,Willard's Beach,Ballito,Ballito,South Africa,https://www.lekkeslaap.co.za/accommodation/205-les-mouettes-13,False,,False
73058.0,La Ballito Apartment,Self Catering,950.0,Mid-Range,15.0,1.39,Willard's Beach,Ballito,Ballito,South Africa,https://www.lekkeslaap.co.za/accommodation/la-ballito-apartment,False,,False
17773.0,Sands Beach Breaks Ballito,Self Catering,2018.0,Premium,71.0,7.89,Willard's Beach,Ballito,Ballito,South Africa,https://www.lekkeslaap.co.za/accommodation/sands-beach-breaks-ballito,False,,False
77548.0,Zur See,Self Catering,739.0,Mid-Range,185.0,17.13,Ballito Ballito,Ballito Ballito,Ballito,South Africa,https://www.lekkeslaap.co.za/accommodation/zur-see,False,,False
109662.0,Zimbali Boulevard Suites,Self Catering,1275.0,Premium,5.0,0.56,Zimbali Estate,Ballito,Ballito,South Africa,https://www.lekkeslaap.co.za/accommodation/zimbali-boulevard,False,,False
26245.0,Ruby Sands,Self Catering,3600.0,Luxury,27.0,3.75,Ballito Ballito,Ballito Ballito,Ballito,South Africa,https://www.lekkeslaap.co.za/accommodation/ruby-sands,False,,False
123905.0,4 Chaka's Rocks Chalets - The Beach Cottage,Self Catering,2100.0,Premium,5.0,0.56,Thompson's Bay,Ballito,Ballito,South Africa,https://www.lekkeslaap.co.za/accommodation/4-chakas-rocks-chalets--the-beach-house,True,30.0,False
15600.0,La Montagne,Self Catering,1935.0,Premium,110.0,12.22,Willard's Beach,Ballito,Ballito,South Africa,https://www.lekkeslaap.co.za/accommodation/la-montagne,False,,False
137426.0,Little Sea Salt,Self Catering,750.0,Mid-Range,14.0,1.3,Sheffield Beach,Ballito,Ballito,South Africa,https://www.lekkeslaap.co.za/accommodation/little-sea-salt,False,,False
90027.0,Five O'clock Zen Boutique Guest House,Guest House,1035.0,Mid-Range,16.0,1.48,Celtisdal,Pretoria,Pretoria,South Africa,https://www.lekkeslaap.co.za/accommodation/five-oclock-zen-boutique-guest-house,False,,False
111408.0,Castle Home,B&B,1350.0,Premium,32.0,3.56,Clubview,Pretoria,Pretoria,South Africa,https://www.lekkeslaap.co.za/accommodation/castle-home,False,,False
60664.0,Biki-Biki Gasteverblyf,Guest House,274.0,Budget,61.0,4.52,Centurion,Pretoria,Pretoria,South Africa,https://www.lekkeslaap.co.za/accommodation/biki-biki-gasteverblyf,False,,False
25653.0,The Aviary,Self Catering,1035.0,Mid-Range,184.0,17.04,Waterkloof Glen,Pretoria,Pretoria,South Africa,https://www.lekkeslaap.co.za/accommodation/the-aviary,False,,False
15860.0,Centurion Golf Suites Boca Walk,Guest House,1365.0,Premium,84.0,9.33,Centurion,Pretoria,Pretoria,South Africa,https://www.lekkeslaap.co.za/accommodation/centurion-golf-suites,False,,False
135405.0,Baobab Guesthouse,Guest House,630.0,Budget,15.0,1.11,Centurion,Pretoria,Pretoria,South Africa,https://www.lekkeslaap.co.za/accommodation/boabab-gasteverblyf,True,30.0,False
149717.0,458 on Manitoba,Self Catering,880.0,Mid-Range,11.0,1.02,Pretoria East,Pretoria,Pretoria,South Africa,https://www.lekkeslaap.co.za/accommodation/458-on-manitoba,False,,False
109776.0,GaDuTe gastehuis,Self Catering,1350.0,Premium,34.0,3.78,Garsfontein,Pretoria,Pretoria,South Africa,https://www.lekkeslaap.co.za/accommodation/gadute,False,,False
126727.0,Woodhill Silo On 14th,Self Catering,1190.0,Mid-Range,32.0,2.96,Woodhill Golf Estate,Pretoria,Pretoria,South Africa,https://www.lekkeslaap.co.za/accommodation/woodhill-on-14th,False,,False
15027.0,Brooklyn Manor,Guest House,1105.0,Mid-Range,98.0,9.07,Brooklyn,Pretoria,Pretoria,South Africa,https://www.lekkeslaap.co.za/accommodation/brooklyn-manor,False,,False
10862.0,La Granja,Self Catering,1445.0,Premium,159.0,17.67,Panorama Route Panorama Route,Panorama Route Panorama Route,Panorama Route,South Africa,https://www.lekkeslaap.co.za/accommodation/la-granja,False,,False
90402.0,DullVino Cottage 15 Critchley,Self Catering,1947.0,Premium,72.0,8.0,Dullstroom,Panorama Route,Panorama Route,South Africa,https://www.lekkeslaap.co.za/accommodation/dullvino-cottage--critchley,False,,False
47440.0,The Browns' - Luxury Suites,Guest House,1425.0,Premium,67.0,7.44,Dullstroom,Panorama Route,Panorama Route,South Africa,https://www.lekkeslaap.co.za/accommodation/the-browns-luxury-guest-suites,False,,False
32850.0,Thokozani Lodge,Guest House,840.0,Mid-Range,44.0,4.07,White River,Panorama Route,Panorama Route,South Africa,https://www.lekkeslaap.co.za/accommodation/thokozani-lodge,False,,False
74390.0,The Loft,Self Catering,1200.0,Premium,19.0,2.11,Kiepersol,Panorama Route,Panorama Route,South Africa,https://www.lekkeslaap.co.za/accommodation/salela-farm,False,,False
103947.0,Gwenyn,Self Catering,2240.0,Premium,18.0,2.0,Sabie,Panorama Route,Panorama Route,South Africa,https://www.lekkeslaap.co.za/accommodation/gwenyn-mountain-getaway,False,,False
109699.0,Idlewood 2,Self Catering,2261.0,Premium,14.0,1.56,Dullstroom,Panorama Route,Panorama Route,South Africa,https://www.lekkeslaap.co.za/accommodation/idlewood-40,False,,False
47546.0,Hobbiton Cottage @ Rivendell Trout Estate,Self Catering,3740.0,Luxury,21.0,2.92,Panorama Route Panorama Route,Panorama Route Panorama Route,Panorama Route,South Africa,https://www.lekkeslaap.co.za/accommodation/rivendell-trout-estate,False,,False
84552.0,DullVino First House,Self Catering,2247.0,Premium,55.0,6.11,Dullstroom,Panorama Route,Panorama Route,South Africa,https://www.lekkeslaap.co.za/accommodation/dullvino-house,False,,False
69991.0,Rozelee Rest,Self Catering,550.0,Budget,111.0,8.22,Sonheuwel,Panorama Route,Panorama Route,South Africa,https://www.lekkeslaap.co.za/accommodation/rozelee-rest,False,,False
41464.0,Hartenbos Landgoed 16,Self Catering,2100.0,Premium,79.0,8.78,Hartenbos,Mossel Bay,Mossel Bay,South Africa,https://www.lekkeslaap.co.za/accommodation/hartenbos-landgoed-16,False,,False
78973.0,Beacon Wharf Selfsorg Seefront Akkommodasie,Self Catering,1560.0,Premium,123.0,13.67,Beacon Point (Die Punt),Mossel Bay,Mossel Bay,South Africa,https://www.lekkeslaap.co.za/accommodation/beacon-wharf-selfsorg-seefront-akkommodasie,False,,False
16424.0,The Bay Lodge,B&B,1829.0,Premium,127.0,14.11,Bay View,Mossel Bay,Mossel Bay,South Africa,https://www.lekkeslaap.co.za/accommodation/the-bay-lodge-58,False,,False
29186.0,Hartenbos Landgoed 7,Self Catering,2520.0,Luxury,64.0,8.89,Hartenbos,Mossel Bay,Mossel Bay,South Africa,https://www.lekkeslaap.co.za/accommodation/hartenbos-landgoed-7,False,,False
120537.0,Lekke By Die See,Self Catering,740.0,Mid-Range,40.0,3.7,Dana Bay,Mossel Bay,Mossel Bay,South Africa,https://www.lekkeslaap.co.za/accommodation/lekke-by-die-see-93,False,,False
120531.0,The Cuckoo's Nest,Self Catering,934.0,Mid-Range,29.0,2.69,Mossel Bay Central,Mossel Bay,Mossel Bay,South Africa,https://www.lekkeslaap.co.za/accommodation/the-cuckoos-nest,False,,False
102612.0,60 Estoril Villas,Self Catering,1040.0,Mid-Range,29.0,2.69,Die Voor Bay,Mossel Bay,Mossel Bay,South Africa,https://www.lekkeslaap.co.za/accommodation/60-estoril-villas,False,,False
128012.0,Lekker Leef Cottage,Self Catering,895.0,Mid-Range,65.0,6.02,Mossel Bay Central,Mossel Bay,Mossel Bay,South Africa,https://www.lekkeslaap.co.za/accommodation/lekker-leef,False,,False
2142.0,African Oceans Manor on the Beach,Guest House,2520.0,Luxury,20.0,2.78,Bay View,Mossel Bay,Mossel Bay,South Africa,https://www.lekkeslaap.co.za/accommodation/african-oceans-manor-on-the-beach,False,,False
102889.0,GreenHouse Apartment,Self Catering,850.0,Mid-Range,41.0,3.8,Mount Croix,Gqeberha (Port Elizabeth),Gqeberha Port Elizabeth,South Africa,https://www.lekkeslaap.co.za/accommodation/greenhouse-apartment-gq,False,,False
1258.0,Eden Road Guest Suites,Guest House,1100.0,Mid-Range,178.0,16.48,Parsons Hill,Gqeberha (Port Elizabeth),Gqeberha Port Elizabeth,South Africa,https://www.lekkeslaap.co.za/accommodation/eden-road-guest-suites,False,,False
99365.0,Dolphins Stay,Self Catering,1530.0,Premium,21.0,2.33,Summerstrand,Gqeberha (Port Elizabeth),Gqeberha Port Elizabeth,South Africa,https://www.lekkeslaap.co.za/accommodation/dolphin-stay,False,,False
134513.0,Gazania Cottage,Self Catering,1088.0,Mid-Range,14.0,1.3,Blue Horizon Bay,Gqeberha (Port Elizabeth),Gqeberha Port Elizabeth,South Africa,https://www.lekkeslaap.co.za/accommodation/gazania-cottage,False,,False
5102.0,Beachwalk Bed and Breakfast,B&B,1696.0,Premium,50.0,5.56,Summerstrand,Gqeberha (Port Elizabeth),Gqeberha Port Elizabeth,South Africa,https://www.lekkeslaap.co.za/accommodation/beachwalk-bed-and-breakfast,False,,False
37933.0,RElaxed City Living,Self Catering,960.0,Mid-Range,54.0,5.0,Walmer,Gqeberha (Port Elizabeth),Gqeberha Port Elizabeth,South Africa,https://www.lekkeslaap.co.za/accommodation/relaxed-city-living,False,,False
129303.0,The Little Lorraine Loft,Self Catering,990.0,Mid-Range,13.0,1.2,Lorraine,Gqeberha (Port Elizabeth),Gqeberha Port Elizabeth,South Africa,https://www.lekkeslaap.co.za/accommodation/the-little-loraine,False,,False
126104.0,Seaview Sunsets,Self Catering,912.0,Mid-Range,17.0,1.57,Seaview,Gqeberha (Port Elizabeth),Gqeberha Port Elizabeth,South Africa,https://www.lekkeslaap.co.za/accommodation/seaview-sunsets-68,False,,False
143675.0,27 on Brunswick,Self Catering,711.0,Mid-Range,23.0,2.13,Adcockvale,Gqeberha (Port Elizabeth),Gqeberha Port Elizabeth,South Africa,https://www.lekkeslaap.co.za/accommodation/27-on-brunswick,False,,False
100503.0,Cozy Townhouse,Self Catering,1100.0,Mid-Range,41.0,3.8,Lorraine,Gqeberha (Port Elizabeth),Gqeberha Port Elizabeth,South Africa,https://www.lekkeslaap.co.za/accommodation/8-cozy-complex,False,,False
100168.0,Point Waterfront Apartments,Self Catering,1200.0,Premium,45.0,5.0,Point Waterfront,Durban,Durban,South Africa,https://www.lekkeslaap.co.za/accommodation/point-waterfront-apartments,False,,False
101447.0,Buckingham Place,Self Catering,800.0,Mid-Range,69.0,6.39,Kloof,Durban,Durban,South Africa,https://www.lekkeslaap.co.za/accommodation/buckingham-road,False,,False
80001.0,Anne's Cottage,Self Catering,720.0,Mid-Range,12.0,1.11,Musgrave,Durban,Durban,South Africa,https://www.lekkeslaap.co.za/accommodation/annes-cottage,False,,False
2840.0,Ammazulu African Palace,Guest House,1500.0,Premium,12.0,1.33,KranztKloof Nature Reserve,Durban,Durban,South Africa,https://www.lekkeslaap.co.za/accommodation/ammazulu-african-palace,False,,False
135739.0,Oyster Tide B&B and Self-Catering,B&B,1300.0,Premium,11.0,1.22,Umhlanga,Durban,Durban,South Africa,https://www.lekkeslaap.co.za/accommodation/oyster-tide-bb,False,,False
113835.0,3 on Rockhaven,Self Catering,850.0,Mid-Range,28.0,2.59,Pinetown,Durban,Durban,South Africa,https://www.lekkeslaap.co.za/accommodation/3-on-rockhaven,False,,False
2286.0,Centre Court B&B,B&B,1500.0,Premium,37.0,4.11,Durban North,Durban,Durban,South Africa,https://www.lekkeslaap.co.za/accommodation/centre-court-b-b,False,,False
9241.0,Terebinte,Guest House,1600.0,Premium,40.0,4.44,Bulwer,Durban,Durban,South Africa,https://www.lekkeslaap.co.za/accommodation/terebinte,False,,False
47669.0,35 on Fairview,Self Catering,900.0,Mid-Range,20.0,1.85,Kloof,Durban,Durban,South Africa,https://www.lekkeslaap.co.za/accommodation/35-on-fairview,False,,False
101880.0,Huntley Cottage & Northway Cabin,Self Catering,850.0,Mid-Range,34.0,3.15,Durban North,Durban,Durban,South Africa,https://www.lekkeslaap.co.za/accommodation/huntley-cottage--northway-cabin-12,False,,False
133149.0,Beachbreak Cottages,Self Catering,1100.0,Mid-Range,21.0,1.94,Umhlanga Umhlanga,Umhlanga Umhlanga,Umhlanga,South Africa,https://www.lekkeslaap.co.za/accommodation/beachbreak-cottages-15,False,,False
99131.0,67 The Shades,Self Catering,2750.0,Luxury,14.0,1.94,Umhlanga Umhlanga,Umhlanga Umhlanga,Umhlanga,South Africa,https://www.lekkeslaap.co.za/accommodation/67-the-shades,False,,False
134840.0,7 Cormoran,Self Catering,1318.0,Premium,9.0,1.0,Umhlanga Umhlanga,Umhlanga Umhlanga,Umhlanga,South Africa,https://www.lekkeslaap.co.za/accommodation/7-cormoran-28,True,15.0,False
2740.0,Shelbourne Boutique Lodge,B&B,3800.0,Luxury,80.0,11.11,La Lucia,Umhlanga,Umhlanga,South Africa,https://www.lekkeslaap.co.za/accommodation/shelbourne-lodge,False,,False
11046.0,Cowrie Cove Guest House,Guest House,2542.0,Luxury,31.0,4.31,La Lucia,Umhlanga,Umhlanga,South Africa,https://www.lekkeslaap.co.za/accommodation/cowrie-cove-guest-house,False,,False
49782.0,202 Ben Siesta,Self Catering,2050.0,Premium,17.0,1.89,Umhlanga Umhlanga,Umhlanga Umhlanga,Umhlanga,South Africa,https://www.lekkeslaap.co.za/accommodation/202-ben-siesta,False,,False
139463.0,Suite Monte Carlo - Beachfront Apartment,Self Catering,3250.0,Luxury,0.0,0.0,Umhlanga Umhlanga,Umhlanga Umhlanga,Umhlanga,South Africa,https://www.lekkeslaap.co.za/accommodation/suite-monte-carlo---beachfront-apartment,False,,False
4188.0,La Lucia BnB,B&B,1600.0,Premium,120.0,13.33,La Lucia,Umhlanga,Umhlanga,South Africa,https://www.lekkeslaap.co.za/accommodation/kites-view-bed-and-breakfast,False,,False
